"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2015","718.81","718.81","718.81","718.81","","-0.19%"
"03/31/2015","720.20","720.20","720.20","720.20","","-0.41%"
"03/30/2015","723.20","723.20","723.20","723.20","","1.20%"
"03/27/2015","714.63","714.63","714.63","714.63","","0.53%"
"03/26/2015","710.89","710.89","710.89","710.89","","-0.24%"
"03/25/2015","712.61","712.61","712.61","712.61","","-2.12%"
"03/24/2015","728.01","728.01","728.01","728.01","","0.02%"
"03/23/2015","727.86","727.86","727.86","727.86","","0.08%"
"03/20/2015","727.26","727.26","727.26","727.26","","1.14%"
"03/19/2015","719.03","719.03","719.03","719.03","","0.14%"
"03/18/2015","718.00","718.00","718.00","718.00","","0.93%"
"03/17/2015","711.38","711.38","711.38","711.38","","0.21%"
"03/16/2015","709.92","709.92","709.92","709.92","","0.38%"
"03/13/2015","707.24","707.24","707.24","707.24","","-0.42%"
"03/12/2015","710.20","710.20","710.20","710.20","","1.83%"
"03/11/2015","697.45","697.45","697.45","697.45","","0.63%"
"03/10/2015","693.07","693.07","693.07","693.07","","-1.25%"
"03/09/2015","701.82","701.82","701.82","701.82","","0.67%"
"03/06/2015","697.18","697.18","697.18","697.18","","-1.42%"
"03/05/2015","707.24","707.24","707.24","707.24","","0.11%"
"03/04/2015","706.44","706.44","706.44","706.44","","-0.61%"
"03/03/2015","710.78","710.78","710.78","710.78","","-0.60%"
"03/02/2015","715.06","715.06","715.06","715.06","","0.72%"
"02/27/2015","709.98","709.98","709.98","709.98","","-0.40%"
"02/26/2015","712.84","712.84","712.84","712.84","","0.29%"
"02/25/2015","710.75","710.75","710.75","710.75","","-0.06%"
"02/24/2015","711.17","711.17","711.17","711.17","","0.25%"
"02/23/2015","709.40","709.40","709.40","709.40","","0.10%"
"02/20/2015","708.67","708.67","708.67","708.67","","0.20%"
"02/19/2015","707.27","707.27","707.27","707.27","","-0.11%"
"02/18/2015","708.04","708.04","708.04","708.04","","0.31%"
"02/17/2015","705.83","705.83","705.83","705.83","","0.05%"
"02/13/2015","705.45","705.45","705.45","705.45","","0.50%"
"02/12/2015","701.95","701.95","701.95","701.95","","1.30%"
"02/11/2015","692.97","692.97","692.97","692.97","","-0.09%"
"02/10/2015","693.57","693.57","693.57","693.57","","0.45%"
"02/09/2015","690.49","690.49","690.49","690.49","","-0.91%"
"02/06/2015","696.85","696.85","696.85","696.85","","-0.17%"
"02/05/2015","698.03","698.03","698.03","698.03","","1.38%"
"02/04/2015","688.51","688.51","688.51","688.51","","-0.29%"
"02/03/2015","690.53","690.53","690.53","690.53","","1.85%"
"02/02/2015","677.97","677.97","677.97","677.97","","1.13%"
"01/30/2015","670.38","670.38","670.38","670.38","","-1.99%"
"01/29/2015","683.97","683.97","683.97","683.97","","1.14%"
"01/28/2015","676.23","676.23","676.23","676.23","","-1.46%"
"01/27/2015","686.24","686.24","686.24","686.24","","-0.57%"
"01/26/2015","690.16","690.16","690.16","690.16","","0.93%"
"01/23/2015","683.82","683.82","683.82","683.82","","-0.30%"
"01/22/2015","685.86","685.86","685.86","685.86","","2.11%"
"01/21/2015","671.70","671.70","671.70","671.70","","-0.26%"
"01/20/2015","673.45","673.45","673.45","673.45","","-0.71%"
"01/16/2015","678.28","678.28","678.28","678.28","","1.77%"
"01/15/2015","666.51","666.51","666.51","666.51","","-1.62%"
"01/14/2015","677.50","677.50","677.50","677.50","","-0.42%"
"01/13/2015","680.39","680.39","680.39","680.39","","0.37%"
"01/12/2015","677.88","677.88","677.88","677.88","","-0.42%"
"01/09/2015","680.74","680.74","680.74","680.74","","-0.94%"
"01/08/2015","687.17","687.17","687.17","687.17","","1.76%"
