date;Value;% Change;Open;High;Low;Turnover;
01.02.2013;562,20;-1,34;569,06;569,13;560,78;12.675.142;
31.01.2013;569,86;1,28;561,78;571,04;561,78;206.349.182;
30.01.2013;562,67;-0,61;561,08;567,44;560,94;8.725.032;
29.01.2013;566,11;-0,89;571,48;571,48;563,04;24.420.856;
28.01.2013;571,17;-0,23;569,38;573,65;567,96;54.752.759;
25.01.2013;572,47;1,24;569,23;576,53;569,23;93.378.842;
24.01.2013;565,44;0,94;560,97;567,45;560,97;40.597.100;
23.01.2013;560,17;0,33;557,46;562,86;557,46;34.510.668;
22.01.2013;558,35;0,04;557,64;562,44;556,97;31.551.490;
21.01.2013;558,10;0,68;553,57;560,47;553,57;15.852.685;
18.01.2013;554,34;-1,50;558,97;560,11;550,57;60.107.946;
17.01.2013;562,79;1,24;563,29;567,68;557,69;49.750.219;
16.01.2013;555,90;0,98;551,97;561,07;551,97;57.530.032;
15.01.2013;550,53;0,83;551,18;553,92;548,98;23.803.891;
14.01.2013;545,98;1,92;541,83;546,90;541,83;39.342.144;
11.01.2013;535,69;0,72;534,00;536,92;532,79;20.805.394;
10.01.2013;531,87;0,61;526,14;533,07;526,14;40.105.502;
09.01.2013;528,65;-0,07;529,01;530,21;527,12;34.668.786;
08.01.2013;529,01;-0,85;532,22;534,19;528,34;11.034.699;
04.01.2013;533,53;1,63;522,74;533,71;522,30;25.776.448;
03.01.2013;524,98;0,21;523,13;524,98;520,47;24.542.704;
31.12.2012;523,89;0,69;519,32;525,90;516,20;48.442.435;
28.12.2012;520,30;0,81;513,67;520,30;512,83;30.084.933;
27.12.2012;516,10;1,45;507,75;519,42;507,25;38.110.408;
26.12.2012;508,71;-0,19;507,02;510,52;506,43;41.533.399;
25.12.2012;509,67;-0,26;511,52;512,77;508,76;15.684.538;
24.12.2012;510,99;-1,05;513,41;515,22;510,99;8.207.856;
21.12.2012;516,40;2,12;505,70;518,80;505,45;71.688.590;
20.12.2012;505,70;0,65;501,80;506,26;499,99;107.952.064;
19.12.2012;502,45;-1,10;502,62;505,95;500,71;20.065.292;
18.12.2012;508,05;0,44;505,22;509,28;504,63;14.475.703;
17.12.2012;505,82;-1,18;505,84;509,08;504,51;10.067.195;
14.12.2012;511,87;-0,50;513,00;515,44;511,50;22.720.177;
13.12.2012;514,45;0,74;510,67;518,27;509,56;34.187.781;
12.12.2012;510,67;0,61;507,35;513,26;506,50;62.834.474;
11.12.2012;507,56;0,29;507,06;508,98;506,06;40.986.457;
10.12.2012;506,09;2,71;492,76;506,09;492,76;29.341.904;
07.12.2012;492,76;1,19;487,06;497,55;487,06;7.809.386;
06.12.2012;486,96;1,05;484,31;489,92;484,31;21.349.108;
05.12.2012;481,91;0,96;477,33;484,39;477,33;21.821.340;
04.12.2012;477,31;0,34;475,48;478,28;475,11;23.133.767;
03.12.2012;475,69;0,29;474,19;476,64;472,15;12.667.873;
30.11.2012;474,33;1,04;469,65;478,12;469,65;58.265.411;
29.11.2012;469,44;0,55;464,41;469,56;464,02;54.537.906;
28.11.2012;466,87;0,48;464,31;467,74;463,01;17.454.305;
27.11.2012;464,65;-0,70;467,91;467,92;463,69;32.958.489;
26.11.2012;467,93;0,41;466,04;467,98;464,10;38.498.499;
23.11.2012;466,00;-0,11;465,94;466,83;464,57;21.290.161;
22.11.2012;466,49;0,07;464,21;467,13;463,70;14.599.162;
21.11.2012;466,15;0,31;466,37;470,46;465,84;25.505.156;
20.11.2012;464,71;1,71;456,47;469,18;456,45;120.378.102;
19.11.2012;456,88;0,67;452,02;458,01;451,89;31.461.770;
16.11.2012;453,86;0,09;452,12;453,86;450,35;25.826.674;
15.11.2012;453,44;-1,43;459,68;459,68;452,39;26.522.275;
14.11.2012;460,02;-1,09;464,62;464,94;459,31;26.752.921;
13.11.2012;465,09;0,88;460,60;468,59;460,54;15.860.844;
09.11.2012;461,02;0,97;456,72;462,19;456,47;27.790.720;
08.11.2012;456,58;0,90;451,55;459,78;451,55;23.490.410;
07.11.2012;452,52;0,19;451,11;455,25;449,91;65.194.541;
06.11.2012;451,67;0,36;450,56;453,02;449,86;11.907.600;
05.11.2012;450,03;-0,19;449,40;451,05;448,98;9.664.873;
02.11.2012;450,87;0,35;449,34;450,95;449,34;14.171.817;
01.11.2012;449,30;-0,02;448,64;449,98;446,49;41.706.767;
31.10.2012;449,40;0,21;448,17;451,30;447,78;50.314.981;
